episode 0, steps 1001, avg_score : 0.4964999889023602
episode 1, steps 1001, avg_score : 0.8924999800510705
episode 2, steps 1001, avg_score : 0.592499986756593
episode 3, steps 1001, avg_score : 0.7054999842308461
episode 4, steps 1001, avg_score : 1.1334999746643006
episode 5, steps 1001, avg_score : 0.8924999800510705
episode 6, steps 1001, avg_score : 0.43349999031051994
episode 7, steps 1001, avg_score : 0.4464999900199473
episode 8, steps 1001, avg_score : 0.7909999823197722
episode 9, steps 1001, avg_score : 0.9554999786429107
episode 10, steps 1001, avg_score : 1.4584999673999846
episode 11, steps 1001, avg_score : 0.8199999816715717
episode 12, steps 1001, avg_score : 0.6554999853484332
episode 13, steps 1001, avg_score : 0.6024999865330756
episode 14, steps 1001, avg_score : 0.5934999867342412
episode 15, steps 1001, avg_score : 0.6134999862872064
episode 16, steps 1001, avg_score : 0.5794999870471657
episode 17, steps 1001, avg_score : 0.7679999828338623
episode 18, steps 1001, avg_score : 0.6524999854154885
episode 19, steps 1001, avg_score : 0.6839999847114087
episode 20, steps 1001, avg_score : 0.855999980866909
episode 21, steps 1001, avg_score : 1.1449999744072556
episode 22, steps 1001, avg_score : 1.6049999641254544
episode 23, steps 1001, avg_score : 1.959999956190586
episode 24, steps 1001, avg_score : 1.8834999579004943
episode 25, steps 1001, avg_score : 1.7984999598003923
episode 26, steps 1001, avg_score : 1.8479999586939813
episode 27, steps 1001, avg_score : 2.00649995515123
episode 28, steps 1001, avg_score : 1.5559999652206897
episode 29, steps 1001, avg_score : 1.1219999749213456
episode 30, steps 1001, avg_score : 1.5804999646730722
episode 31, steps 1001, avg_score : 1.7904999599792064
episode 32, steps 1001, avg_score : 1.7129999617114664
episode 33, steps 1001, avg_score : 2.0159999549388887
episode 34, steps 1001, avg_score : 2.7874999376945198
episode 35, steps 1001, avg_score : 1.901499957498163
episode 36, steps 1001, avg_score : 2.064499953854829
episode 37, steps 1001, avg_score : 2.7524999384768307
episode 38, steps 1001, avg_score : 2.4264999457634984
episode 39, steps 1001, avg_score : 3.024499932397157
episode 40, steps 1001, avg_score : 2.6789999401196836
episode 41, steps 1001, avg_score : 4.824499892164022
episode 42, steps 1001, avg_score : 3.9434999118559064
